id,phase,country,location,name,preservation,lat,long,sex,age
96,6,Germany,Peiting,Peiting Woman/Rosalinde,bog mummy,47.815583,10.970417,female,adult
97,6,Germany,Pangerfilze,NA,bog mummy,47.83344,12.038956,male,adult
98,5,Poland,Drwęck (formerly Dröbnitz),Dröbnitz Girl,bog mummy,53.559167,20.207222,female,child
99,5,Poland,Karwiny (formerly Karwinden),Karwinden Man,bog mummy,54.14092,19.8289,male,adult
100,5,Poland,Dabrowka,NA,bog skeleton,52.96103,19.09785,unknown,adult
101,6,Estonia,Raplamaa,NA,bog mummy,59.126807,24.711644,female,adult
102,1,Norway,"Haugesund, Bleivik",NA,bog skeleton,59.4705,5.2443,male,adult
103,6,Norway,"Andøya, Skjoldehamn",NA,bog skeleton,68.8793,15.4921,female,adult
104,5,Norway,"Vea store, Nærøy",NA,bog skeleton (cranium/mandible),64.9127,11.8198,female,adult
105,5,Norway,"Skorpa, Dønna",NA,bog skeleton,66.0404,12.5395,female,adult
106,5,Norway,"Hedmark, Starene",NA,bog skeleton (partial),60.7677,11.2255,female,adult
107,5,Norway,"Hedmark, Kinnlitjernet; also called Kolstad",NA,bog skeleton (partial),60.8865,10.8078,female,adult
108,5,Norway,"Hedmark, Rytjernet",NA,bog skeleton (partial),60.8154,11.1665,male,adult
109,5,Norway,"Hedmark, Lang Re and Nordre Rå, Hvitbjerg-tjennet",skeleton I,bog skeleton,60.6711,11.1388,male,adult
110,5,Norway,"Hedmark, Skytra",NA,bog skeleton (cranium/mandible),60.7456,11.2633,male,adult
111,6,Sweden,Dannike,Dannikekvinnan/Dannike-Frau,bog mummy,57.688,13.2265,female,adult
112,6,Sweden,"Rolfstorp, Bocksten farm",Bocksten Man,bog mummy,57.1169,12.5733,male,adult
113,2,Sweden,Luttra,Hallonflickan/Raspberry girl,bog skeleton,58.11395,13.5188,female,adult
114,2,Sweden,Härlingstorp,Härlingstorp girl,bog skeleton,58.378,13.5842,female,adult
115,2,Sweden,Rolfsåker,NA,bog skeleton,57.4803,12.14,male,adult
116,5,Sweden,Östra Vemmerlöv,NA,bog skeleton,55.582413,14.232195,female,adult
117,3,Sweden,Ljungsbro,NA,bog skeleton (cranium/mandible),58.5038,15.505,male,adult
118,3,Sweden,"Ölsund, Forsa parish, Hälsingland",NA,bog skeleton (cranium/mandible),61.6668,16.9849,male,adult
119,3,Sweden,Nossamaden,NA,bog skeleton (cranium/mandible),58.170706,12.996791,female,adult
120,5,Sweden,"Torresta, Häljebolsta",Torresta Man,bog skeleton,59.5333,17.4833,male,adult
121,4,Sweden,"Gotland, Alva my, Frigsarve",NA,bog skeleton,57.2074,18.361,male,adult
122,4,Sweden,"Närke, Kvarntorp",NA,bog skeleton (cranium/mandible),59.142,15.289,female,adult
123,4,Sweden,"Vendel, Gryteby/Gryttby",NA,bog skeleton,60.1333,17.5665,female,adult
124,5,Sweden,Gullåkra,NA,bog skeleton (cranium/mandible),55.6558,13.2043,unknown,adult
125,2,Sweden,Vallby (also mentioned as Wallby),NA,bog skeleton (cranium/mandible),55.6497,13.2862,unknown,adult
126,5,Sweden,Gullåkra,NA,bog skeleton (cranium/mandible),55.6653,13.21,unknown,adult
127,5,Sweden,Hyby,NA,bog skeleton,55.5804,13.2583,male,adult
128,1,Sweden,Skåne,NA,bog skeleton,57.2808,13.9445,unknown,child
129,1,Sweden,"Bredgården, Marbäck 115",NA,bog skeleton,57.7438,13.4155,male,adult
130,5,Sweden,"Lyngby, Everöd",NA,bog skeleton,55.893,14.1145,male,adult
131,5,Sweden,"Bergsgårdens utmark, Gökhem",NA,bog skeleton,58.1628,13.375,female,adult
132,5,Sweden,"Rogestorp Nedergården, Gökhem",NA,bog skeleton,58.1458,13.1458,male,adult
133,5,Sweden,"Grolanda 97, Skånum, Gärdet 6:1",NA,bog skeleton,58.0689,13.3544,female,adult
134,5,Sweden,"Myren, Malmön, Bohuslän",NA,bog skeleton,58.3416,11.3246,unknown,adult
135,5,Sweden,"Granhammar, Uppland",Granhammar Man,bog skeleton,59.52421,17.784084,male,adult
136,2,Sweden,"Munkarp, Ageröd I",NA,bog skeleton (partial),55.9348,13.428,unknown,unknown
137,5,Denmark,Aars,Borremose I/Borremose Man,bog mummy,56.7897,9.5697,male,adult
138,5,Denmark,Aars,Borremose III/Borremose Woman,bog mummy,56.7945,9.5755,female,adult
139,5,Denmark,Baunsø,Baunsø,bog mummy,56.611,9.586,male,adult
140,5,Denmark,Corselitze Hovedgaard,Corselitze Woman,bog mummy,54.768,12.02,female,adult
141,5,Denmark,Fræer,NA,bog mummy,56.8594,9.9327,male,adult
142,5,Denmark,"Nørre Knudstrup, Grathe Hede",NA,bog mummy,56.256,9.313,unknown,unknown
